Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
139,83.44,-18.806,-18.806,0.308,0.7315,0.947,-0.055
140,94.756,11.316,11.316,0.945,0.5674,0.9392,-0.055
141,75.546,-19.21,-19.21,0.021,0.8283,0.0081,-0.055
142,93.254,17.708,17.708,0.714,0.8782,0.9352,-0.055
143,93.51,0.256,0.256,-0.449,0.1299,0.007,-0.005
144,81.28,-12.229,-12.229,-0.168,0.4942,0.993,-0.005
145,65.124,-16.156,-16.156,0.32,0.6399,0.9513,-0.055
146,55.721,-9.403,-9.403,0.879,0.3538,0.9363,-0.055
147,42.233,-13.488,-13.488,0.126,0.4971,0.9351,-0.055
148,42.97,0.737,0.737,0.107,0.0734,0.9347,-0.055
149,37.292,-5.678,-5.678,-0.311,0.1945,0.9336,-0.005
150,52.861,15.568,15.568,-0.912,0.8082,0.9279,-0.005
151,35.453,-17.408,-17.408,-0.382,0.7335,0.951,-0.005
152,30.513,-4.94,-4.94,-0.959,0.1204,0.9357,-0.005
153,30.457,-0.056,-0.056,-0.899,0.0305,0.9276,-0.005
154,26.61,-3.847,-3.847,-0.863,0.1276,0.9311,-0.005
155,26.631,0.021,0.021,-0.979,0.0366,0.9279,-0.005
156,21.832,-4.799,-4.799,0.444,0.1566,0.9308,-0.055
157,33.943,12.112,12.112,-0.481,0.6286,0.927,-0.005
158,28.488,-5.455,-5.455,0.659,0.2152,0.9474,-0.055
159,16.642,-11.847,-11.847,-0.977,0.4449,0.9273,-0.005
160,10.872,-5.77,-5.77,0.423,0.1706,0.9277,-0.055
161,20.515,9.644,9.644,-0.54,0.5088,0.9272,-0.005
162,23.14,2.625,2.625,-0.102,0.1639,0.9426,-0.005
163,29.939,6.799,6.799,-0.609,0.3689,0.9331,-0.005
164,36.825,6.886,6.886,-0.806,0.3744,0.9408,-0.005
165,55.787,18.962,18.962,-0.287,0.962,0.9424,-0.005
166,46.266,-9.521,-9.521,0.538,0.4016,0.9508,-0.055
167,46.484,0.218,0.218,0.026,0.0421,0.9325,-0.055
168,38.778,-7.706,-7.706,-0.247,0.2763,0.9331,-0.005
169,34.453,-4.326,-4.326,0.346,0.1143,0.9285,-0.055
170,19.29,-15.163,-15.163,-0.868,0.5853,0.9286,-0.005
171,12.569,-6.721,-6.721,-0.562,0.2019,0.9283,-0.005
172,0.0,-13.578,-13.578,-0.498,0.5202,0.9276,-0.005
173,17.947,17.947,17.947,0.817,0.9141,0.9176,-0.055
174,33.596,15.648,15.648,-0.546,0.8035,0.9535,-0.005
175,46.509,12.914,12.914,0.022,0.6579,0.9512,-0.055
176,39.288,-7.221,-7.221,-0.189,0.2992,0.9492,-0.005
177,39.83,0.541,0.541,0.264,0.0627,0.9283,-0.055
178,50.948,11.118,11.118,0.677,0.5516,0.9329,-0.055
179,58.076,7.128,7.128,-0.788,0.3884,0.9483,-0.005
180,70.729,12.653,12.653,-0.806,0.6612,0.9456,-0.005
181,83.089,12.36,12.36,0.463,0.643,0.0013,-0.055
182,66.848,-16.241,-16.241,0.877,0.703,0.005,-0.055
183,53.219,-13.629,-13.629,0.341,0.5288,0.9369,-0.055
184,41.262,-11.957,-11.957,-0.449,0.4216,0.9391,-0.005
185,61.12,19.858,19.858,-0.845,1.0182,0.9325,-0.005
186,45.291,-15.828,-15.828,-0.097,0.7285,0.0014,-0.005
187,57.469,12.177,12.177,0.02,0.6203,0.9386,-0.055
188,61.756,4.287,4.287,-0.292,0.2456,0.9488,-0.005
189,76.0,14.244,14.244,-0.507,0.7508,0.9863,-0.005
190,85.796,9.796,9.796,0.936,0.5114,0.003,-0.055
191,81.791,-4.005,-4.005,-0.722,0.1906,0.004,-0.005
192,90.275,8.484,8.484,-0.536,0.4839,0.9747,-0.005
193,71.464,-18.811,-18.811,0.577,0.8006,0.0044,-0.055
194,55.355,-16.109,-16.109,-0.853,0.6134,0.9342,-0.005
195,67.361,12.006,12.006,0.77,0.5817,0.9441,-0.055
196,63.454,-3.908,-3.908,0.834,0.1937,0.0,-0.055
197,67.703,4.25,4.25,-0.929,0.292,0.9655,-0.005
