episode,phase,total_reward,steps,success,licked_left,licked_right,n_licks,critic_loss,actor_loss,alpha
179,1.0,896.38,500,0,1,0,224,nan,439.492554,nan
180,1.0,996.32,500,0,1,0,236,nan,453.369843,nan
181,1.0,896.295,500,0,1,0,241,nan,406.962433,nan
182,1.0,996.255,500,0,0,0,249,nan,477.481934,nan
183,1.0,996.31,500,0,0,0,238,nan,454.292145,nan
184,1.0,796.27,500,0,0,0,246,nan,387.543274,nan
185,1.0,996.22,500,0,0,0,256,nan,462.489075,nan
186,1.0,996.285,500,0,0,0,243,nan,466.894379,nan
187,1.0,996.21,500,0,1,0,258,nan,452.497162,nan
188,1.0,996.16,500,0,1,0,268,nan,434.474884,nan
189,1.0,896.36,500,0,1,0,228,nan,401.910126,nan
190,1.0,896.205,500,0,1,0,259,nan,399.93988,nan
191,1.0,996.235,500,0,0,0,253,nan,458.817261,nan
192,1.0,896.075,500,0,1,0,285,nan,419.896881,nan
193,1.0,996.095,500,0,0,0,281,nan,455.781555,nan
194,1.0,1096.135,500,0,0,0,273,nan,495.446198,nan
195,1.0,1096.17,500,0,0,0,266,nan,491.418701,nan
196,1.0,1096.12,500,0,1,0,276,nan,508.880981,nan
197,1.0,996.04,500,0,1,0,292,nan,452.840973,nan
198,1.0,896.07,500,0,0,0,286,nan,429.694031,nan
199,1.0,996.105,500,0,0,0,279,nan,468.653809,nan
200,1.0,1096.05,500,0,0,0,290,nan,509.88797,nan
201,1.0,996.035,500,0,0,0,293,nan,471.376007,nan
202,1.0,996.155,500,0,0,0,269,nan,467.642944,nan
203,1.0,896.065,500,0,1,0,287,nan,427.082703,nan
204,1.0,1096.04,500,0,0,0,292,nan,520.062195,nan
205,1.0,1096.0,500,0,0,0,300,nan,514.454224,nan
206,1.0,996.105,500,0,1,0,279,nan,472.298798,nan
207,1.0,995.99,500,0,1,0,302,nan,462.012939,nan
208,1.0,996.05,500,0,0,0,290,nan,465.897034,nan
209,1.0,996.055,500,0,1,0,289,nan,457.44281,nan
210,1.0,995.93,500,0,1,0,314,nan,464.783936,nan
211,1.0,995.945,500,0,1,0,311,nan,456.056,nan
212,1.0,1096.01,500,0,0,0,298,nan,495.049988,nan
213,1.0,1096.03,500,0,0,0,294,nan,508.684387,nan
214,1.0,995.99,500,0,1,0,302,nan,461.790161,nan
215,1.0,995.875,500,0,0,0,325,nan,455.2742,nan
216,1.0,1095.96,500,0,0,0,308,nan,506.816803,nan
217,1.0,1096.01,500,0,0,0,298,nan,505.23587,nan
218,1.0,1095.89,500,0,0,0,322,nan,509.730194,nan
219,1.0,1096.03,500,0,0,0,294,nan,512.452881,nan
220,1.0,995.92,500,0,0,0,316,nan,463.872406,nan
221,1.0,1095.965,500,0,0,0,307,nan,495.805481,nan
222,1.0,1095.905,500,0,0,0,319,nan,500.151123,nan
223,1.0,896.01,500,0,0,0,298,nan,443.683502,nan
224,1.0,995.975,500,0,0,0,305,nan,471.646362,nan
225,1.0,995.965,500,0,0,0,307,nan,456.993225,nan
226,1.0,996.025,500,0,1,0,295,nan,438.115204,nan
227,1.0,995.985,500,0,1,0,303,nan,469.312927,nan
228,1.0,1096.11,500,0,0,0,278,nan,531.688904,nan
229,1.0,1096.01,500,0,0,0,298,nan,515.817383,nan
230,1.0,996.055,500,0,1,0,289,nan,456.259186,nan
231,1.0,1096.01,500,0,1,0,298,nan,496.393555,nan
232,1.0,996.005,500,0,0,0,299,nan,474.792603,nan
233,1.0,996.07,500,0,1,0,286,nan,455.905792,nan
234,1.0,1096.055,500,0,1,0,289,nan,509.597839,nan
235,1.0,1096.0,500,0,0,0,300,nan,504.482605,nan
