episode,phase,total_reward,steps,success,n_licks,n_pokes,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
193,1.0,221.38,500,1,303,500,24,10.291666666666666,1.807122,-0.132043,nan
194,1.0,200.11,500,1,332,500,22,11.363636363636363,2.320637,-1.448534,nan
195,1.0,220.74,500,1,321,500,24,9.666666666666666,1.650711,0.015899,nan
196,1.0,200.98,500,1,314,500,22,11.045454545454545,1.659601,-1.232659,nan
197,1.0,220.34,500,1,328,500,24,10.125,1.83203,-0.57381,nan
198,1.0,220.83,500,1,317,500,24,10.5,1.908396,-0.54118,nan
199,1.0,221.46,500,1,302,500,24,10.125,2.391228,-0.232644,nan
200,1.0,230.91,500,1,315,500,25,10.32,1.607857,0.141763,nan
201,1.0,221.39,500,1,306,500,24,10.875,1.530061,-0.241912,nan
202,1.0,210.42,500,1,325,500,23,10.782608695652174,2.81993,-0.734647,nan
203,1.0,221.85,500,1,296,500,24,9.625,2.000837,0.821925,nan
204,1.0,211.27,500,1,309,500,23,10.73913043478261,1.517961,-0.133424,nan
205,1.0,200.99,500,1,314,500,22,11.409090909090908,2.477847,-0.850585,nan
206,1.0,221.34,500,1,305,500,24,9.5,2.114065,1.064901,nan
207,1.0,210.06,500,1,331,500,23,11.217391304347826,1.4596,-0.245568,nan
208,1.0,230.93,500,1,318,500,25,10.12,1.612892,1.100116,nan
209,1.0,221.25,500,1,305,500,24,10.0,1.936329,0.589024,nan
210,1.0,210.43,500,1,325,500,23,11.26086956521739,1.75144,-0.506481,nan
211,1.0,200.14,500,1,331,500,22,11.0,2.197933,-0.931327,nan
212,1.0,210.92,500,1,315,500,23,11.0,2.081622,-0.675917,nan
213,1.0,220.53,500,1,322,500,24,10.875,1.677906,-0.188126,nan
214,1.0,211.01,500,1,315,500,23,10.434782608695652,1.711442,-0.0871,nan
215,1.0,230.84,500,1,318,500,25,10.08,2.264015,0.456248,nan
216,1.0,181.09,500,1,310,500,20,12.15,2.670591,-1.60415,nan
217,1.0,210.62,500,1,322,500,23,10.391304347826088,2.477374,0.139182,nan
218,1.0,210.95,500,1,315,500,23,10.73913043478261,1.24573,0.202921,nan
219,1.0,211.39,500,1,305,500,23,11.043478260869565,1.532593,-0.088913,nan
220,1.0,211.2,500,1,310,500,23,10.91304347826087,1.583692,0.288761,nan
221,1.0,211.49,500,1,303,500,23,10.304347826086957,1.795837,0.580733,nan
222,1.0,221.3,500,1,308,500,24,9.625,2.569419,1.209311,nan
223,1.0,220.93,500,1,314,500,24,9.541666666666666,1.550362,1.379946,nan
224,1.0,220.69,500,1,321,500,24,10.625,1.548876,0.437029,nan
225,1.0,220.45,500,1,326,500,24,10.0,1.752817,0.428822,nan
226,1.0,210.48,500,1,322,500,23,10.652173913043478,2.199592,-0.631203,nan
227,1.0,230.77,500,1,317,500,25,9.8,1.674886,0.14676,nan
228,1.0,230.51,500,1,322,500,25,9.92,1.61724,-0.00847,nan
229,1.0,230.83,500,1,315,500,25,9.84,1.450183,-0.201618,nan
230,1.0,210.71,500,1,321,500,23,10.521739130434783,2.173208,-1.413317,nan
231,1.0,210.36,500,1,326,500,23,10.391304347826088,1.839274,-1.194762,nan
232,1.0,200.62,500,1,323,500,22,10.727272727272727,2.359089,-1.803047,nan
233,1.0,210.44,500,1,324,500,23,11.0,2.001723,-1.448019,nan
234,1.0,230.12,500,1,332,500,25,9.72,1.580122,0.532131,nan
235,1.0,191.09,500,1,312,500,21,11.0,1.576978,-1.2503,nan
236,1.0,219.87,500,1,340,500,24,11.083333333333334,1.294371,-0.300099,nan
237,1.0,200.87,500,1,316,500,22,10.818181818181818,2.437383,-0.45911,nan
238,1.0,210.23,500,1,332,500,23,11.26086956521739,1.820838,-0.147384,nan
239,1.0,230.66,500,1,319,500,25,10.44,1.977452,1.202383,nan
240,1.0,230.95,500,1,313,500,25,10.48,1.775322,1.348073,nan
241,1.0,240.23,500,1,328,500,26,9.76923076923077,2.071433,2.16428,nan
242,1.0,211.47,500,1,301,500,23,11.347826086956522,1.975488,0.183632,nan
243,1.0,220.74,500,1,317,500,24,10.416666666666666,2.131947,0.555849,nan
244,1.0,231.1,500,1,313,500,25,10.28,2.484559,0.494645,nan
245,1.0,230.37,500,1,327,500,25,10.12,1.553457,0.88451,nan
246,1.0,220.67,500,1,322,500,24,11.083333333333334,1.434199,-0.431495,nan
247,1.0,221.53,500,1,303,500,24,10.541666666666666,1.924159,-0.805677,nan
248,1.0,210.66,500,1,322,500,23,10.130434782608695,1.305211,-0.561626,nan
249,1.0,220.52,500,1,324,500,24,10.125,1.55231,-0.675685,nan
250,1.0,210.4,500,1,327,500,23,11.304347826086957,2.399512,-1.886515,nan
251,1.0,221.25,500,1,308,500,24,10.166666666666666,1.545942,-0.616894,nan
252,1.0,230.21,500,1,329,500,25,10.0,1.305667,-0.047309,nan
253,1.0,239.92,500,1,337,500,26,9.23076923076923,1.357955,0.991272,nan
254,1.0,220.44,500,1,327,500,24,10.0,1.317272,-0.391523,nan
255,1.0,220.2,500,1,329,500,24,10.0,1.598318,-0.277691,nan
256,1.0,220.45,500,1,325,500,24,10.083333333333334,2.314245,-0.483278,nan
257,1.0,211.06,500,1,313,500,23,10.043478260869565,1.906125,-0.483014,nan
258,1.0,230.09,500,1,334,500,25,9.88,1.923852,0.03975,nan
259,1.0,220.84,500,1,316,500,24,10.416666666666666,1.699407,-0.273631,nan
260,1.0,220.92,500,1,316,500,24,9.916666666666666,1.652579,0.030891,nan
261,1.0,221.06,500,1,312,500,24,10.166666666666666,1.436376,0.08218,nan
262,1.0,210.64,500,1,320,500,23,10.869565217391305,2.130801,-0.86302,nan
263,1.0,210.76,500,1,321,500,23,10.565217391304348,1.393087,-0.458085,nan
264,1.0,210.39,500,1,326,500,23,10.26086956521739,1.623404,0.111678,nan
265,1.0,219.77,500,1,336,500,24,10.791666666666666,1.217376,-0.192757,nan
266,1.0,209.93,500,1,337,500,23,10.521739130434783,1.694247,-0.212045,nan
267,1.0,230.68,500,1,318,500,25,9.8,1.327736,1.221109,nan
268,1.0,210.01,500,1,332,500,23,10.73913043478261,1.227794,0.019787,nan
269,1.0,220.12,500,1,330,500,24,10.416666666666666,1.151303,0.442511,nan
270,1.0,210.16,500,1,331,500,23,10.304347826086957,2.066407,0.024544,nan
271,1.0,230.94,500,1,313,500,25,9.6,1.280002,1.068806,nan
272,1.0,210.01,500,1,334,500,23,10.391304347826088,1.448891,-0.213183,nan
273,1.0,220.93,500,1,314,500,24,10.125,1.804693,-0.089242,nan
274,1.0,240.54,500,1,324,500,26,9.5,1.095167,0.870208,nan
275,1.0,219.35,500,1,350,500,24,10.583333333333334,1.983282,-0.820117,nan
276,1.0,230.93,500,1,315,500,25,9.76,1.979619,-0.199372,nan
277,1.0,230.51,500,1,322,500,25,9.48,1.25008,0.020679,nan
278,1.0,220.81,500,1,315,500,24,10.416666666666666,1.588389,-0.898311,nan
279,1.0,219.96,500,1,335,500,24,10.333333333333334,2.173114,-0.702218,nan
280,1.0,219.83,500,1,338,500,24,10.416666666666666,1.199168,-0.45255,nan
281,1.0,230.66,500,1,321,500,25,9.68,1.47032,0.039516,nan
282,1.0,241.14,500,1,309,500,26,9.653846153846153,1.50108,0.715283,nan
283,1.0,211.64,500,1,298,500,23,10.391304347826088,1.734239,-1.074212,nan
284,1.0,230.89,500,1,316,500,25,10.0,1.035581,0.083126,nan
285,1.0,209.88,500,1,336,500,23,10.130434782608695,1.356811,-0.544685,nan
286,1.0,220.66,500,1,317,500,24,9.916666666666666,1.578794,-0.10179,nan
287,1.0,241.24,500,1,307,500,26,9.576923076923077,1.41957,0.945533,nan
288,1.0,210.91,500,1,315,500,23,10.08695652173913,1.532301,-0.495248,nan
289,1.0,220.08,500,1,333,500,24,10.083333333333334,1.45489,-0.048234,nan
290,1.0,221.26,500,1,311,500,24,9.916666666666666,2.326507,-0.020343,nan
291,1.0,221.24,500,1,308,500,24,10.375,0.980222,-0.144568,nan
292,1.0,231.95,500,1,294,500,25,9.72,1.340394,0.338761,nan
293,1.0,230.23,500,1,329,500,25,10.4,1.518825,0.092576,nan
294,1.0,231.46,500,1,304,500,25,9.92,1.063097,0.257249,nan
295,1.0,231.45,500,1,306,500,25,9.64,1.427349,0.571368,nan
