episode,phase,total_reward,steps,success,n_licks,n_pokes,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
103,2.0,373.59,500,1,478,500,40,6.35,5791.68457,1428.347168,nan
104,2.0,363.62,500,1,477,500,39,6.153846153846154,6140.706543,1365.25769,nan
105,2.0,373.16,500,1,486,500,40,6.275,6485.467285,1533.192749,nan
106,2.0,373.51,500,1,479,500,40,6.05,6057.834473,1511.38208,nan
107,2.0,383.53,500,1,479,500,41,6.0,5981.387695,1602.717407,nan
108,2.0,383.44,500,1,481,500,41,6.097560975609756,5345.233398,1543.178589,nan
109,2.0,383.78,500,1,474,500,41,6.073170731707317,6040.64209,1612.248657,nan
110,2.0,383.81,500,1,473,500,41,6.048780487804878,5962.004883,1249.498413,nan
111,2.0,384.02,500,1,469,500,41,6.048780487804878,5605.675293,1522.251953,nan
112,2.0,383.88,500,1,472,500,41,6.121951219512195,5477.474121,1393.0271,nan
113,2.0,384.16,500,1,466,500,41,6.024390243902439,6033.125,1373.073486,nan
114,2.0,374.17,500,1,466,500,40,6.025,6144.721191,1297.417236,nan
115,2.0,383.79,500,1,473,500,41,6.024390243902439,6008.743164,1492.209595,nan
116,2.0,383.66,500,1,476,500,41,6.0,5441.423828,1576.587646,nan
117,2.0,373.84,500,1,473,500,40,6.2,6172.625,1560.578735,nan
118,2.0,383.08,500,1,488,500,41,6.024390243902439,6422.181152,1689.896484,nan
119,2.0,383.37,500,1,482,500,41,6.048780487804878,6285.618652,1615.814941,nan
120,2.0,382.99,500,1,490,500,41,6.048780487804878,6189.867188,1637.935303,nan
121,2.0,383.23,500,1,485,500,41,6.024390243902439,6327.106934,1691.042358,nan
122,2.0,393.19,500,1,486,500,42,6.0,5392.262207,1534.574707,nan
123,2.0,383.48,500,1,480,500,41,6.0,6156.538574,1431.734741,nan
124,2.0,383.24,500,1,484,500,41,6.0,6387.666504,1672.548462,nan
125,2.0,372.6,500,1,498,500,40,6.2,6335.64502,1544.297607,nan
126,2.0,382.85,500,1,493,500,41,6.0,6359.563965,1544.450439,nan
127,2.0,382.75,500,1,495,500,41,6.024390243902439,6336.618164,1636.287842,nan
128,2.0,382.7,500,1,496,500,41,6.0,5968.230469,1499.329102,nan
129,2.0,382.55,500,1,499,500,41,6.024390243902439,6377.629883,1423.99939,nan
130,2.0,382.7,500,1,496,500,41,6.121951219512195,5667.808594,1591.792236,nan
131,2.0,392.79,500,1,494,500,42,6.0,5114.943848,1516.289307,nan
132,2.0,382.64,500,1,497,500,41,6.0,6309.288086,1558.1604,nan
133,2.0,382.6,500,1,498,500,41,6.097560975609756,5915.186035,1445.074585,nan
134,2.0,382.65,500,1,497,500,41,6.121951219512195,5695.534668,1550.295288,nan
135,2.0,382.5,500,1,500,500,41,6.0,6326.487305,1674.213501,nan
136,2.0,382.5,500,1,500,500,41,6.024390243902439,6064.158203,1451.718506,nan
137,2.0,382.55,500,1,499,500,41,6.048780487804878,5851.844727,1302.294434,nan
138,2.0,382.55,500,1,499,500,41,6.073170731707317,5072.424805,1523.780029,nan
139,2.0,382.55,500,1,499,500,41,6.0,5711.077148,1575.656006,nan
140,2.0,372.5,500,1,500,500,40,6.0,5769.464355,1461.785278,nan
141,2.0,382.65,500,1,497,500,41,6.0,5719.081055,1433.238281,nan
142,2.0,362.55,500,1,499,500,39,6.0,6343.352539,1686.296875,nan
143,2.0,382.6,500,1,498,500,41,6.0,6289.737305,1675.100342,nan
144,2.0,372.5,500,1,500,500,40,6.3,6554.96582,1614.566406,nan
145,2.0,382.5,500,1,500,500,41,6.024390243902439,6466.08252,1674.725586,nan
146,2.0,382.55,500,1,499,500,41,6.0,6254.475098,1570.706177,nan
147,2.0,382.55,500,1,499,500,41,6.0,5351.346191,1558.744141,nan
148,2.0,372.6,500,1,498,500,40,6.025,6167.328125,1629.539062,nan
149,2.0,382.59,500,1,498,500,41,6.048780487804878,5977.111816,1597.89624,nan
150,2.0,382.5,500,1,500,500,41,6.073170731707317,5262.56543,1469.626465,nan
151,2.0,382.55,500,1,499,500,41,6.024390243902439,5873.009277,1586.943604,nan
152,2.0,382.55,500,1,499,500,41,6.024390243902439,5843.740234,1615.141846,nan
153,2.0,382.6,500,1,498,500,41,6.0,6073.428711,1604.994385,nan
154,2.0,382.5,500,1,500,500,41,6.048780487804878,5726.492188,1562.195557,nan
155,2.0,382.5,500,1,500,500,41,6.0,6241.253906,1659.924194,nan
156,2.0,382.5,500,1,500,500,41,6.0,6195.805664,1645.721436,nan
157,2.0,382.5,500,1,500,500,41,6.0,6207.418945,1662.820923,nan
158,2.0,382.55,500,1,499,500,41,6.0,6184.109375,1674.251587,nan
159,2.0,382.72,500,1,495,500,41,6.0,5790.90625,1590.994019,nan
160,2.0,382.64,500,1,497,500,41,6.024390243902439,6340.415039,1519.761719,nan
161,2.0,382.64,500,1,497,500,41,6.0,6415.580078,1631.490967,nan
162,2.0,382.9,500,1,492,500,41,6.024390243902439,6261.338379,1642.571289,nan
163,2.0,383.01,500,1,489,500,41,6.024390243902439,6191.401855,1559.967041,nan
164,2.0,382.87,500,1,492,500,41,6.024390243902439,5911.147949,1605.276733,nan
165,2.0,382.89,500,1,492,500,41,6.0,5609.805176,1567.606567,nan
166,2.0,382.55,500,1,499,500,41,6.0,6043.455078,1592.40332,nan
167,2.0,382.6,500,1,498,500,41,6.024390243902439,5762.627441,1572.375244,nan
168,2.0,372.55,500,1,499,500,40,6.0,5676.511719,1622.005127,nan
169,2.0,382.5,500,1,500,500,41,6.0,5711.090332,1559.219238,nan
170,2.0,382.75,500,1,495,500,41,6.0,6094.973633,1500.093506,nan
171,2.0,382.5,500,1,500,500,41,6.0,5872.066895,1598.87439,nan
172,2.0,382.65,500,1,497,500,41,6.0,6346.811523,1633.848389,nan
173,2.0,382.5,500,1,500,500,41,6.0,5737.339355,1594.702393,nan
174,2.0,382.5,500,1,500,500,41,6.0,6010.649414,1609.308594,nan
175,2.0,372.55,500,1,499,500,40,6.0,5580.205078,1570.453003,nan
176,2.0,382.55,500,1,499,500,41,6.0,5881.630371,1498.00061,nan
177,2.0,372.94,500,1,491,500,40,6.025,5886.929688,1574.43811,nan
178,2.0,382.79,500,1,494,500,41,6.024390243902439,6149.442871,1618.287354,nan
179,2.0,382.89,500,1,492,500,41,6.048780487804878,5882.245117,1592.508667,nan
180,2.0,383.29,500,1,484,500,41,6.048780487804878,5366.32959,1411.267578,nan
181,2.0,383.17,500,1,486,500,41,6.073170731707317,5753.277344,1606.652954,nan
182,2.0,382.98,500,1,490,500,41,6.097560975609756,5772.086914,1602.950562,nan
183,2.0,382.99,500,1,490,500,41,6.097560975609756,5681.626953,1586.31543,nan
184,2.0,383.28,500,1,484,500,41,6.121951219512195,5338.83252,1530.094482,nan
185,2.0,382.8,500,1,494,500,41,6.146341463414634,5055.664062,1443.417725,nan
186,2.0,382.75,500,1,495,500,41,6.048780487804878,5910.630859,1538.089233,nan
187,2.0,382.88,500,1,492,500,41,6.024390243902439,5892.626953,1607.322388,nan
188,2.0,392.85,500,1,493,500,42,6.0,5116.71582,1265.371216,nan
189,2.0,383.12,500,1,487,500,41,6.097560975609756,6030.516602,1555.152954,nan
190,2.0,383.08,500,1,488,500,41,6.121951219512195,5662.983398,1585.731689,nan
191,2.0,383.24,500,1,485,500,41,6.0,6327.750977,1462.231079,nan
192,2.0,382.75,500,1,495,500,41,6.024390243902439,5984.064941,1594.648193,nan
193,2.0,383.08,500,1,488,500,41,6.048780487804878,6043.113281,1452.687256,nan
194,2.0,383.19,500,1,486,500,41,6.0,6148.312012,1555.731201,nan
195,2.0,383.17,500,1,486,500,41,6.0,5444.38623,1553.595459,nan
196,2.0,383.68,500,1,476,500,41,6.024390243902439,6178.143555,1268.210693,nan
197,2.0,383.24,500,1,485,500,41,6.048780487804878,6210.560547,1623.265991,nan
198,2.0,373.08,500,1,488,500,40,6.025,6048.47168,1569.678955,nan
199,2.0,373.08,500,1,488,500,40,6.025,5832.376465,1619.504517,nan
200,2.0,373.23,500,1,485,500,40,6.025,5608.893555,1411.987671,nan
