episode,phase,total_reward,steps,success,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
238,1.0,-18.9,500,0,328,0,nan,nan,nan,nan
239,1.0,-17.75,500,0,305,0,nan,nan,nan,nan
240,1.0,-17.4,500,0,298,0,nan,nan,nan,nan
241,1.0,-18.7,500,0,324,0,nan,nan,nan,nan
242,1.0,-17.05,500,0,291,0,nan,nan,nan,nan
243,1.0,-18.55,500,0,321,0,nan,nan,nan,nan
244,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
245,1.0,-8.7,500,1,324,1,104.0,nan,nan,nan
246,1.0,-18.1,500,0,312,0,nan,nan,nan,nan
247,1.0,-17.85,500,0,307,0,nan,nan,nan,nan
248,1.0,-17.6,500,0,302,0,nan,nan,nan,nan
249,1.0,-18.8,500,0,326,0,nan,nan,nan,nan
250,1.0,1.3,500,1,324,2,148.0,nan,nan,nan
251,1.0,-17.9,500,0,308,0,nan,nan,nan,nan
252,1.0,-7.7,500,1,304,1,121.0,nan,nan,nan
253,1.0,-7.35,500,1,297,1,41.0,nan,nan,nan
254,1.0,-18.05,500,0,311,0,nan,nan,nan,nan
255,1.0,-18.9,500,0,328,0,nan,nan,nan,nan
256,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
257,1.0,-18.1,500,0,312,0,nan,nan,nan,nan
258,1.0,-18.0,500,0,310,0,nan,nan,nan,nan
259,1.0,-19.15,500,0,333,0,nan,nan,nan,nan
260,1.0,-19.3,500,0,336,0,nan,nan,nan,nan
261,1.0,-18.85,500,0,327,0,nan,nan,nan,nan
262,1.0,-18.0,500,0,310,0,nan,nan,nan,nan
263,1.0,-17.25,500,0,295,0,nan,nan,nan,nan
264,1.0,-17.8,500,0,306,0,nan,nan,nan,nan
265,1.0,-18.45,500,0,319,0,nan,nan,nan,nan
266,1.0,-18.0,500,0,310,0,nan,nan,nan,nan
267,1.0,-18.1,500,0,312,0,nan,nan,nan,nan
268,1.0,-18.5,500,0,320,0,nan,nan,nan,nan
269,1.0,-8.5,500,1,320,1,440.0,nan,nan,nan
270,1.0,-8.15,500,1,313,1,354.0,nan,nan,nan
271,1.0,-17.85,500,0,307,0,nan,nan,nan,nan
272,1.0,-8.2,500,1,314,1,40.0,nan,nan,nan
273,1.0,-19.1,500,0,332,0,nan,nan,nan,nan
274,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
275,1.0,-18.85,500,0,327,0,nan,nan,nan,nan
276,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
277,1.0,-17.9,500,0,308,0,nan,nan,nan,nan
278,1.0,-18.8,500,0,326,0,nan,nan,nan,nan
279,1.0,-8.1,500,1,312,1,244.0,nan,nan,nan
280,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
281,1.0,-19.6,500,0,342,0,nan,nan,nan,nan
282,1.0,-17.4,500,0,298,0,nan,nan,nan,nan
283,1.0,-18.75,500,0,325,0,nan,nan,nan,nan
284,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
285,1.0,-19.25,500,0,335,0,nan,nan,nan,nan
286,1.0,-18.95,500,0,329,0,nan,nan,nan,nan
287,1.0,-17.4,500,0,298,0,nan,nan,nan,nan
288,1.0,-18.75,500,0,325,0,nan,nan,nan,nan
289,1.0,-18.2,500,0,314,0,nan,nan,nan,nan
290,1.0,-6.45,500,1,279,1,329.0,nan,nan,nan
291,1.0,-18.15,500,0,313,0,nan,nan,nan,nan
292,1.0,-17.5,500,0,300,0,nan,nan,nan,nan
293,1.0,-7.6,500,1,302,1,258.0,nan,nan,nan
294,1.0,-18.75,500,0,325,0,nan,nan,nan,nan
295,1.0,-8.75,500,1,325,1,303.0,nan,nan,nan
296,1.0,-17.9,500,0,308,0,nan,nan,nan,nan
297,1.0,-8.4,500,1,318,1,318.0,nan,nan,nan
298,1.0,-19.0,500,0,330,0,nan,nan,nan,nan
299,1.0,-19.2,500,0,334,0,nan,nan,nan,nan
300,1.0,-18.05,500,0,311,0,nan,nan,nan,nan
301,1.0,-17.65,500,0,303,0,nan,nan,nan,nan
302,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
303,1.0,-17.7,500,0,304,0,nan,nan,nan,nan
304,1.0,-17.65,500,0,303,0,nan,nan,nan,nan
305,1.0,-17.7,500,0,304,0,nan,nan,nan,nan
306,1.0,-17.9,500,0,308,0,nan,nan,nan,nan
307,1.0,-18.75,500,0,325,0,nan,nan,nan,nan
308,1.0,-18.7,500,0,324,0,nan,nan,nan,nan
309,1.0,-19.15,500,0,333,0,nan,nan,nan,nan
310,1.0,-18.0,500,0,310,0,nan,nan,nan,nan
311,1.0,-18.2,500,0,314,0,nan,nan,nan,nan
312,1.0,-18.05,500,0,311,0,nan,nan,nan,nan
313,1.0,-18.05,500,0,311,0,nan,nan,nan,nan
314,1.0,-7.5,500,1,300,1,324.0,nan,nan,nan
315,1.0,-9.4,500,1,338,1,81.0,nan,nan,nan
316,1.0,-7.7,500,1,304,1,130.0,nan,nan,nan
317,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
318,1.0,-19.6,500,0,342,0,nan,nan,nan,nan
319,1.0,-19.1,500,0,332,0,nan,nan,nan,nan
