Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
297,111.201,5.735,5.735,0.796,-0.3254,0.0,-0.055
298,120.0,11.816,11.816,-0.304,-0.6475,0.0,-0.005
299,120.0,8.376,8.376,-0.188,-0.4707,0.0,-0.005
300,120.0,0.198,0.198,0.34,-0.0765,0.0,-0.055
301,119.912,-0.088,-0.088,-0.192,-0.0882,0.0,-0.005
302,115.727,-4.185,-4.185,-0.456,-0.1491,0.0,-0.005
303,120.0,8.694,8.694,-0.071,-0.4883,0.0,-0.005
304,118.349,-1.651,-1.651,-0.149,-0.0757,0.0,-0.005
305,115.716,-2.633,-2.633,0.408,-0.1041,0.0,-0.055
306,109.14,-6.576,-6.576,0.123,-0.248,0.0,-0.055
307,111.706,2.565,2.565,0.229,-0.1735,0.0,-0.055
308,112.456,0.751,0.751,0.193,-0.0917,0.0,-0.055
309,113.473,1.016,1.016,0.034,-0.0978,0.0,-0.055
310,120.0,7.617,7.617,0.398,-0.423,0.0,-0.055
311,120.0,15.008,15.008,0.182,-0.8246,0.0,-0.055
312,115.218,-4.782,-4.782,0.19,-0.1726,0.0,-0.055
313,120.0,5.312,5.312,0.678,-0.3061,0.0,-0.055
314,118.149,-1.851,-1.851,-0.015,-0.0795,0.0,-0.005
315,120.0,7.016,7.016,0.35,-0.3932,0.0,-0.055
316,117.252,-2.748,-2.748,0.231,-0.1111,0.0,-0.055
317,115.811,-1.44,-1.44,0.323,-0.0579,0.0,-0.055
318,120.0,6.381,6.381,0.052,-0.3592,0.0,-0.055
319,119.076,-0.924,-0.924,0.663,-0.0532,0.0,-0.055
320,120.0,3.258,3.258,0.232,-0.2036,0.0,-0.055
321,116.783,-3.217,-3.217,0.124,-0.125,0.0,-0.055
322,117.565,0.782,0.782,0.313,-0.1053,0.0,-0.055
323,117.06,-0.505,-0.505,0.401,-0.057,0.0,-0.055
324,109.009,-8.051,-8.051,0.088,-0.2603,0.0,-0.055
325,101.491,-7.518,-7.518,-0.018,-0.2925,0.0,-0.005
326,98.136,-3.355,-3.355,-0.008,-0.1675,0.0,-0.005
327,95.002,-3.133,-3.133,0.351,-0.1647,0.0,-0.055
328,87.859,-7.143,-7.143,-0.008,-0.2802,0.0,-0.005
329,100.592,12.734,12.734,0.49,-0.6932,0.0,-0.055
330,98.802,-1.791,-1.791,0.324,-0.1183,0.0,-0.055
331,93.562,-5.24,-5.24,-0.11,-0.2089,0.0,-0.005
332,97.554,3.992,3.992,-0.14,-0.2345,0.0,-0.005
333,101.787,4.234,4.234,-0.097,-0.2388,0.0,-0.005
334,97.711,-4.076,-4.076,0.038,-0.1693,0.0,-0.055
335,98.82,1.109,1.109,0.188,-0.1146,0.0,-0.055
336,96.925,-1.895,-1.895,0.148,-0.12,0.0,-0.055
337,102.665,5.739,5.739,-0.196,-0.3212,0.0,-0.005
338,107.237,4.572,4.572,0.638,-0.2612,0.0,-0.055
339,105.439,-1.797,-1.797,-0.027,-0.1118,0.0,-0.005
340,112.29,6.851,6.851,0.181,-0.3818,0.0,-0.055
341,120.0,8.512,8.512,-0.242,-0.4686,0.0,-0.005
