Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
125,45.382,20.0,20.0,0.424,0.4387,0.0,-0.055
126,65.382,20.0,20.0,1.0,0.1526,0.0,-0.055
127,85.382,20.0,20.0,-1.0,-0.592,0.0,-0.005
128,105.382,20.0,20.0,1.0,-0.0377,0.0,-0.055
129,85.382,-20.0,-20.0,1.0,-0.2803,0.0,-0.055
130,67.059,-18.323,-18.323,-1.0,-0.384,0.0,-0.005
131,87.059,20.0,20.0,-1.0,-0.5147,0.0,-0.005
132,107.059,20.0,20.0,-1.0,-0.7731,0.0,-0.005
133,87.059,-20.0,-20.0,1.0,-0.5153,0.0,-0.055
134,107.059,20.0,20.0,-1.0,-0.4995,0.0,-0.005
135,87.059,-20.0,-20.0,1.0,-0.3206,0.0,-0.055
136,67.059,-20.0,-20.0,-1.0,-0.1796,0.0,-0.005
137,47.059,-20.0,-20.0,-1.0,0.2093,0.0,-0.005
138,27.059,-20.0,-20.0,-1.0,0.4801,0.0,-0.005
139,7.059,-20.0,-20.0,-1.0,0.923,0.0,-0.005
140,0.0,-14.898,-14.898,1.0,1.2488,0.0,-0.055
141,20.0,20.0,20.0,-1.0,0.7216,0.0,-0.005
142,40.0,20.0,20.0,1.0,0.5193,0.0,-0.055
143,20.0,-20.0,-20.0,1.0,1.0344,0.0,-0.055
144,0.0,-20.0,-20.0,0.859,1.3759,0.0,-0.055
145,20.0,20.0,20.0,1.0,0.5913,0.0,-0.055
146,40.0,20.0,20.0,-1.0,0.4797,0.0,-0.005
147,20.0,-20.0,-20.0,-1.0,0.7578,0.0,-0.005
148,40.0,20.0,20.0,-1.0,0.5208,0.0,-0.005
149,20.0,-20.0,-20.0,1.0,0.8305,0.0,-0.055
150,0.0,-20.0,-20.0,-1.0,1.3186,0.0,-0.005
151,0.0,-20.0,-20.0,-1.0,1.1588,0.0,-0.005
152,0.0,-20.0,-20.0,1.0,1.2203,0.0,-0.055
153,0.0,-20.0,-20.0,-1.0,1.1915,0.0,-0.005
154,0.0,-20.0,-20.0,1.0,1.4416,0.0,-0.055
