episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
182,1995.745,500,351,20,12.0,9.940372,-332.665802,0.115153
183,2095.78,500,344,21,12.047619047619047,4.184757,-334.52774,0.110994
184,2095.485,500,403,21,12.0,2091.628174,-334.649902,0.116896
185,2095.42,500,416,21,12.0,2.158447,-334.881866,0.119849
186,2095.565,500,387,21,12.0,19.172611,-336.702667,0.119871
187,2095.405,500,419,21,12.0,628.95459,-333.876831,0.122316
188,2095.55,500,390,21,12.0,3.808831,-337.154297,0.116398
189,2095.67,500,366,21,12.0,660.373169,-333.014282,0.116682
190,2095.465,500,407,21,12.0,683.778503,-334.401672,0.123351
191,2095.495,500,401,21,12.0,675.333984,-332.114624,0.135333
192,2095.6,500,380,21,12.0,4.365592,-334.381958,0.127495
193,2095.53,500,394,21,12.0,1.511982,-338.948181,0.130943
194,2095.45,500,410,21,12.0,1121.356201,-336.747192,0.127685
195,2095.625,500,375,21,12.0,631.752808,-333.616028,0.132665
196,2095.495,500,401,21,12.0,639.123901,-338.503082,0.137228
197,2095.59,500,382,21,12.0,1.603336,-335.586823,0.131508
198,2095.48,500,404,21,12.0,2.730103,-336.625885,0.131907
199,2095.375,500,425,21,12.0,2.743458,-339.419006,0.133371
200,2095.555,500,389,21,12.095238095238095,2.143675,-339.143646,0.137592
201,2095.585,500,383,21,12.0,1176.971924,-335.048523,0.137198
202,2095.57,500,386,21,12.0,2.300406,-334.158356,0.136451
203,2095.53,500,394,21,12.0,656.15448,-333.333435,0.136803
204,2095.485,500,403,21,12.0,1037.430664,-334.981476,0.140088
205,2095.705,500,359,21,12.0,5.335665,-337.812286,0.139338
206,2095.57,500,386,21,12.0,17.274517,-333.282715,0.138521
207,2095.465,500,407,21,12.0,1037.328369,-335.108765,0.137948
208,2095.67,500,366,21,12.0,4.136292,-336.132202,0.140559
209,2095.44,500,412,21,12.0,1147.524048,-332.768402,0.144586
210,2095.665,500,367,21,12.0,681.742798,-334.898529,0.149913
211,2095.54,500,392,21,12.0,1489.8396,-334.677979,0.145616
212,2095.595,500,381,21,12.0,1308.113525,-337.98175,0.143576
213,2095.525,500,395,21,12.0,1701.697754,-335.14679,0.144032
214,2095.455,500,409,21,12.0,3.150624,-335.402496,0.154285
215,2095.53,500,394,21,12.0,10.461699,-338.446716,0.163064
216,2095.52,500,396,21,12.0,619.749268,-336.578949,0.164063
217,2095.415,500,417,21,12.0,6.408042,-338.888,0.157073
218,2095.49,500,402,21,12.0,9.865297,-333.065155,0.159098
219,2095.445,500,411,21,12.0,16.159533,-334.865601,0.148401
220,2095.435,500,413,21,12.0,624.033142,-336.872131,0.150835
221,2095.365,500,427,21,12.0,1269.27832,-335.949219,0.145225
222,2095.42,500,416,21,12.0,2.919216,-339.556885,0.136141
223,2095.525,500,395,21,12.0,646.942871,-337.380371,0.132549
224,2095.455,500,409,21,12.0,3.291974,-337.442841,0.136248
225,2095.46,500,408,21,12.0,695.922302,-336.540955,0.132988
226,2095.46,500,408,21,12.0,1.10921,-338.210999,0.127587
227,2095.395,500,421,21,12.0,634.125793,-338.633331,0.121869
228,2095.605,500,379,21,12.0,1353.542725,-336.461914,0.114014
