episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
157,995.615,500,377,10,23.6,nan,492.238708,nan
158,995.485,500,403,10,22.4,nan,461.694885,nan
159,995.625,500,375,10,21.7,nan,457.12265,nan
160,995.56,500,388,10,22.3,nan,498.43927,nan
161,995.585,500,383,10,21.1,nan,458.875031,nan
162,995.545,500,391,10,21.6,nan,462.351501,nan
163,995.555,500,389,10,20.7,nan,465.759216,nan
164,995.565,500,387,10,23.1,nan,461.37738,nan
165,1095.52,500,396,11,19.636363636363637,nan,494.254303,nan
166,895.435,500,413,9,22.88888888888889,nan,394.373688,nan
167,1095.525,500,395,11,20.727272727272727,nan,491.415741,nan
168,1095.56,500,388,11,20.636363636363637,nan,519.644653,nan
169,895.495,500,401,9,23.11111111111111,nan,397.517944,nan
170,1095.535,500,393,11,19.363636363636363,nan,510.548004,nan
171,1095.535,500,393,11,21.09090909090909,nan,495.620361,nan
172,995.56,500,388,10,20.3,nan,434.692505,nan
173,995.545,500,391,10,22.1,nan,460.715576,nan
174,995.68,500,364,10,20.4,nan,451.154114,nan
175,995.525,500,395,10,21.7,nan,480.81076,nan
176,995.535,500,393,10,23.3,nan,459.476685,nan
177,995.6,500,380,10,21.6,nan,467.077728,nan
178,895.605,500,379,9,23.77777777777778,nan,418.52301,nan
179,995.58,500,384,10,21.8,nan,480.593506,nan
180,995.535,500,393,10,20.3,nan,465.103058,nan
181,995.55,500,390,10,22.0,nan,465.984497,nan
182,1095.56,500,388,11,19.90909090909091,nan,504.632233,nan
183,995.585,500,383,10,19.6,nan,492.471893,nan
184,1095.55,500,390,11,21.636363636363637,nan,506.067108,nan
185,995.49,500,402,10,20.1,nan,449.052246,nan
186,1095.425,500,415,11,21.636363636363637,nan,504.407379,nan
187,995.54,500,392,10,22.8,nan,479.927094,nan
188,995.6,500,380,10,21.7,nan,458.072632,nan
189,895.58,500,384,9,20.11111111111111,nan,396.910339,nan
190,995.565,500,387,10,24.2,nan,467.200378,nan
191,1095.59,500,382,11,20.636363636363637,nan,507.408112,nan
192,895.495,500,401,9,24.555555555555557,nan,407.499847,nan
193,1095.455,500,409,11,20.181818181818183,nan,498.65387,nan
194,1095.545,500,391,11,18.90909090909091,nan,493.174072,nan
195,995.49,500,402,10,20.9,nan,443.11676,nan
196,995.525,500,395,10,23.3,nan,445.04248,nan
197,1095.535,500,393,11,19.636363636363637,nan,487.920563,nan
198,1095.575,500,385,11,19.636363636363637,nan,507.236145,nan
199,1095.585,500,383,11,21.272727272727273,nan,516.362183,nan
200,995.535,500,393,10,22.1,nan,454.329254,nan
201,1095.53,500,394,11,19.272727272727273,nan,511.047028,nan
202,1095.5,500,400,11,21.545454545454547,nan,512.425598,nan
203,1195.555,500,389,12,18.583333333333332,nan,533.283813,nan
204,995.505,500,399,10,21.8,nan,458.402496,nan
205,1095.565,500,387,11,21.545454545454547,nan,510.98468,nan
206,1095.575,500,385,11,21.0,nan,520.764832,nan
207,1095.44,500,412,11,21.09090909090909,nan,517.564758,nan
208,1095.485,500,403,11,20.272727272727273,nan,496.271973,nan
209,1195.49,500,402,12,19.666666666666668,nan,528.504761,nan
210,1195.595,500,381,12,20.833333333333332,nan,558.662537,nan
211,1095.46,500,408,11,21.09090909090909,nan,506.557831,nan
212,1095.575,500,385,11,21.90909090909091,nan,528.196899,nan
213,1095.585,500,383,11,20.818181818181817,nan,511.804901,nan
