episode,total_reward,steps,success,licked_left,licked_right,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
142,-2.65,500,0,0,0,3,0,nan,1.1e-05,0.381415,nan
143,-2.6,500,0,0,0,2,0,nan,0.001487,0.382041,nan
144,-3.3,500,0,1,0,16,0,nan,3.9e-05,0.379052,nan
145,-6.9,500,0,1,0,88,0,nan,0.002305,0.380137,nan
146,-10.4,500,0,1,0,158,0,nan,0.001332,0.390405,nan
147,-11.9,500,0,1,0,188,0,nan,0.001951,0.387183,nan
148,-9.75,500,0,1,0,145,0,nan,0.000188,0.396024,nan
149,-12.6,500,0,1,0,202,0,nan,0.000253,0.399827,nan
150,-11.9,500,0,1,0,188,0,nan,0.00024,0.408507,nan
151,-10.3,500,0,1,0,156,0,nan,0.001348,0.414422,nan
152,-7.6,500,0,1,0,102,0,nan,0.002436,0.41149,nan
153,-11.4,500,0,1,0,178,0,nan,0.000253,0.416172,nan
154,-10.8,500,0,1,0,166,0,nan,0.003213,0.441058,nan
155,-12.05,500,0,1,0,191,0,nan,0.002739,0.443554,nan
156,-9.55,500,0,1,0,141,0,nan,0.000195,0.42838,nan
157,-10.3,500,0,1,0,156,0,nan,0.000303,0.446153,nan
158,-11.65,500,0,1,0,183,0,nan,0.000296,0.468233,nan
159,-12.3,500,0,1,0,196,0,nan,0.001512,0.46458,nan
160,-11.2,500,0,1,0,174,0,nan,0.000344,0.468853,nan
161,-10.75,500,0,1,0,165,0,nan,0.000365,0.484881,nan
162,-11.0,500,0,1,0,170,0,nan,0.005351,0.491321,nan
163,-8.05,500,0,1,0,111,0,nan,0.00354,0.525023,nan
164,-2.6,500,0,1,0,2,0,nan,0.00313,0.519745,nan
165,-3.4,500,0,1,0,18,0,nan,0.000705,0.537913,nan
166,-2.8,500,0,1,0,6,0,nan,0.000334,0.537726,nan
167,-2.75,500,0,1,0,5,0,nan,0.005449,0.556684,nan
168,-3.05,500,0,1,0,11,0,nan,0.000318,0.543695,nan
169,-4.3,500,0,1,0,36,0,nan,0.005705,0.543534,nan
170,-3.6,500,0,1,0,22,0,nan,0.000398,0.544166,nan
171,-3.85,500,0,1,0,27,0,nan,0.000432,0.546913,nan
172,-5.0,500,0,1,0,50,0,nan,0.000445,0.559659,nan
173,-3.05,500,0,1,0,11,0,nan,0.00195,0.567327,nan
174,-4.3,500,0,1,0,36,0,nan,0.000716,0.558354,nan
175,-2.55,500,0,0,0,1,0,nan,0.000456,0.559842,nan
176,-3.7,500,0,1,0,24,0,nan,0.000727,0.57278,nan
