episode,total_reward,steps,success,licked_left,licked_right,n_licks,critic_loss,actor_loss,alpha
249,0.44,22,0,0,1,9,0.00463,nan,nan
250,0.55,20,0,0,1,7,0.004515,nan,nan
251,0.55,20,0,0,1,7,0.0004,nan,nan
252,0.44,22,0,0,1,9,0.000451,nan,nan
253,0.44,22,0,0,1,9,0.000703,nan,nan
254,0.485,23,0,0,1,8,0.000366,-0.731522,nan
255,0.385,23,0,0,1,10,0.000469,nan,nan
256,0.495,21,0,0,1,8,0.000365,-0.740477,nan
257,0.54,22,0,0,1,7,0.004346,-0.739391,nan
258,0.49,22,0,0,1,8,0.000446,-0.744376,nan
259,0.49,22,0,0,1,8,0.00047,-0.749214,nan
260,0.485,23,0,0,1,8,0.000386,nan,nan
261,0.385,23,0,0,1,10,0.000429,-0.749908,nan
262,0.545,21,0,0,1,7,0.000632,nan,nan
263,0.545,21,0,0,1,7,0.00043,-0.730006,nan
264,0.38,24,0,0,1,10,0.004612,-0.754259,nan
265,0.545,21,0,0,1,7,0.000436,nan,nan
266,0.535,23,0,0,1,7,0.000394,-0.756864,nan
267,0.445,21,0,0,1,9,0.000473,nan,nan
268,0.495,21,0,0,1,8,0.000349,-0.729886,nan
269,0.38,24,0,0,1,10,0.004419,-0.745749,nan
270,0.545,21,0,0,1,7,0.00473,nan,nan
271,0.55,20,0,0,1,7,0.00062,nan,nan
272,0.595,21,0,0,1,6,0.000402,-0.735894,nan
273,0.605,19,0,0,1,6,0.000527,nan,nan
274,0.54,22,0,0,1,7,0.004009,nan,nan
275,0.6,20,0,0,1,6,0.004352,nan,nan
276,0.6,20,0,0,1,6,0.000276,nan,nan
277,0.435,23,0,0,1,9,0.000335,-0.738284,nan
278,0.55,20,0,0,1,7,0.003769,-0.74744,nan
279,0.495,21,0,0,1,8,0.000541,nan,nan
280,0.495,21,0,0,1,8,0.000508,-0.732918,nan
281,0.44,22,0,0,1,9,0.000426,-0.729383,nan
282,0.38,24,0,0,1,10,0.000334,-0.737155,nan
283,0.435,23,0,0,1,9,0.000453,nan,nan
284,0.435,23,0,0,1,9,0.000453,-0.758688,nan
285,0.55,20,0,0,1,7,0.000455,-0.743513,nan
286,0.6,20,0,0,1,6,0.000383,-0.752989,nan
287,0.43,24,0,0,1,9,0.000308,-0.744768,nan
288,0.595,21,0,0,1,6,0.000321,nan,nan
289,0.435,23,0,0,1,9,0.000487,-0.74643,nan
290,0.44,22,0,0,1,9,0.000618,-0.747005,nan
291,0.605,19,0,0,1,6,0.00048,nan,nan
292,0.44,22,0,0,1,9,0.000339,nan,nan
293,0.49,22,0,0,1,8,0.000463,nan,nan
294,0.585,23,0,0,1,6,0.000393,-0.740905,nan
295,0.38,24,0,0,1,10,0.000257,-0.753063,nan
296,0.495,21,0,0,1,8,0.004351,nan,nan
297,0.435,23,0,0,1,9,0.004364,-0.726821,nan
298,0.545,21,0,0,1,7,0.007409,nan,nan
299,0.545,21,0,0,1,7,0.000304,-0.744202,nan
300,0.525,25,0,0,1,7,0.000345,nan,nan
301,0.485,23,0,0,1,8,0.00422,-0.734822,nan
302,0.55,20,0,0,1,7,0.000389,-0.731992,nan
303,0.545,21,0,0,1,7,0.004457,nan,nan
304,0.495,21,0,0,1,8,0.000397,-0.755283,nan
305,0.44,22,0,0,1,9,0.004493,-0.733595,nan
306,0.425,25,0,0,1,9,0.000397,nan,nan
307,0.49,22,0,0,1,8,0.008625,nan,nan
308,0.59,22,0,0,1,6,0.003185,nan,nan
309,0.49,22,0,0,1,8,0.003893,nan,nan
310,0.425,25,0,0,1,9,0.000339,-0.740729,nan
311,0.605,19,0,0,1,6,0.000671,nan,nan
312,0.48,24,0,0,1,8,0.004521,nan,nan
313,0.38,24,0,0,1,10,0.000374,nan,nan
314,0.44,22,0,0,1,9,0.000296,nan,nan
315,0.435,23,0,0,1,9,0.000438,-0.745164,nan
316,0.54,22,0,0,1,7,0.00069,-0.745341,nan
317,0.49,22,0,0,1,8,0.000465,-0.739469,nan
318,0.605,19,0,0,1,6,0.006541,nan,nan
319,0.38,24,0,0,1,10,0.00448,nan,nan
320,0.425,25,0,0,1,9,0.004395,-0.739492,nan
321,0.6,20,0,0,1,6,0.000648,-0.743509,nan
322,0.38,24,0,0,1,10,0.000266,-0.744527,nan
323,0.55,20,0,0,1,7,0.000392,-0.744736,nan
324,0.44,22,0,0,1,9,0.000374,-0.747764,nan
325,0.435,23,0,0,1,9,0.00035,nan,nan
326,0.43,24,0,0,1,9,0.000352,nan,nan
327,0.605,19,0,0,1,6,0.004611,-0.740648,nan
328,0.595,21,0,0,1,6,0.000254,nan,nan
329,0.425,25,0,0,1,9,0.000345,-0.760874,nan
330,0.545,21,0,0,1,7,0.000766,nan,nan
331,0.605,19,0,0,1,6,0.000448,-0.736887,nan
332,0.385,23,0,0,1,10,0.004553,nan,nan
333,0.605,19,0,0,1,6,0.000368,-0.750786,nan
334,0.49,22,0,0,1,8,0.000305,-0.752233,nan
335,0.485,23,0,0,1,8,0.000371,nan,nan
336,0.435,23,0,0,1,9,0.000359,-0.736368,nan
337,0.545,21,0,0,1,7,0.00067,nan,nan
338,0.38,24,0,0,1,10,0.000488,nan,nan
339,0.6,20,0,0,1,6,0.000358,nan,nan
340,0.38,24,0,0,1,10,0.000292,nan,nan
341,0.44,22,0,0,1,9,0.000295,nan,nan
342,0.44,22,0,0,1,9,0.000376,nan,nan
343,0.445,21,0,0,1,9,0.004419,-0.739875,nan
344,0.44,22,0,0,1,9,0.00054,-0.752866,nan
345,0.435,23,0,0,1,9,0.000266,nan,nan
346,0.435,23,0,0,1,9,0.000343,-0.734976,nan
347,0.33,24,0,0,1,11,0.000331,-0.733363,nan
348,0.49,22,0,0,1,8,0.000345,-0.737452,nan
349,0.38,24,0,0,1,10,0.003795,-0.735961,nan
350,0.44,22,0,0,1,9,0.000444,-0.738011,nan
351,0.435,23,0,0,1,9,0.000317,nan,nan
352,0.545,21,0,0,1,7,0.000376,-0.745391,nan
353,0.385,23,0,0,1,10,0.004476,nan,nan
354,0.495,21,0,0,1,8,0.000569,-0.728242,nan
355,0.495,21,0,0,1,8,0.004298,nan,nan
356,0.55,20,0,0,1,7,0.00422,nan,nan
357,0.49,22,0,0,1,8,0.000256,nan,nan
358,0.44,22,0,0,1,9,0.000394,nan,nan
359,0.55,20,0,0,1,7,0.000275,nan,nan
360,0.38,24,0,0,1,10,0.000364,nan,nan
361,0.38,24,0,0,1,10,0.000229,nan,nan
362,0.44,22,0,0,1,9,0.000213,nan,nan
363,0.6,20,0,0,1,6,0.000331,nan,nan
364,0.385,23,0,0,1,10,0.000414,-0.734139,nan
365,0.38,24,0,0,1,10,0.000251,-0.746238,nan
366,0.55,20,0,0,1,7,0.006615,-0.733815,nan
367,0.44,22,0,0,1,9,0.000365,-0.742065,nan
368,0.485,23,0,0,1,8,0.003725,nan,nan
369,0.44,22,0,0,1,9,0.000312,nan,nan
370,0.54,22,0,0,1,7,0.000299,nan,nan
371,0.38,24,0,0,1,10,0.004255,nan,nan
372,0.495,21,0,0,1,8,0.000318,-0.722324,nan
373,0.55,20,0,0,1,7,0.004152,-0.757736,nan
374,0.385,23,0,0,1,10,0.000332,nan,nan
375,0.55,20,0,0,1,7,0.000349,nan,nan
376,0.49,22,0,0,1,8,0.000379,nan,nan
377,0.605,19,0,0,1,6,0.000335,-0.73852,nan
378,0.6,20,0,0,1,6,0.000251,-0.731097,nan
379,0.435,23,0,0,1,9,0.000312,nan,nan
380,0.545,21,0,0,1,7,0.00027,-0.737846,nan
381,0.49,22,0,0,1,8,0.000247,-0.752663,nan
382,0.54,22,0,0,1,7,0.000279,-0.733615,nan
383,0.435,23,0,0,1,9,0.00052,nan,nan
384,0.495,21,0,0,1,8,0.000627,-0.73042,nan
385,0.55,20,0,0,1,7,0.000324,-0.745704,nan
386,0.545,21,0,0,1,7,0.000259,nan,nan
387,0.495,21,0,0,1,8,0.000229,-0.748519,nan
388,0.55,20,0,0,1,7,0.006483,-0.739055,nan
389,0.44,22,0,0,1,9,0.000397,-0.733228,nan
390,0.54,22,0,0,1,7,0.000378,-0.721696,nan
391,0.435,23,0,0,1,9,0.00023,nan,nan
392,0.435,23,0,0,1,9,0.004259,-0.724823,nan
393,0.605,19,0,0,1,6,0.000258,nan,nan
394,0.435,23,0,0,1,9,0.003621,-0.737701,nan
395,0.435,23,0,0,1,9,0.000314,nan,nan
396,0.55,20,0,0,1,7,0.000302,nan,nan
397,0.6,20,0,0,1,6,0.000257,nan,nan
398,0.605,19,0,0,1,6,0.000243,-0.74402,nan
399,0.435,23,0,0,1,9,0.000289,nan,nan
400,0.49,22,0,0,1,8,0.000345,nan,nan
401,0.38,24,0,0,1,10,0.000287,nan,nan
402,0.6,20,0,0,1,6,0.000168,nan,nan
403,0.44,22,0,0,1,9,0.000257,nan,nan
404,0.6,20,0,0,1,6,0.000308,nan,nan
405,0.49,22,0,0,1,8,0.0043,nan,nan
406,0.375,25,0,0,1,10,0.000224,-0.747447,nan
407,0.545,21,0,0,1,7,0.004188,nan,nan
408,0.545,21,0,0,1,7,0.000422,-0.741393,nan
409,0.495,21,0,0,1,8,0.000275,nan,nan
410,0.66,18,0,0,1,5,0.000228,nan,nan
411,0.38,24,0,0,1,10,0.000291,nan,nan
412,0.44,22,0,0,1,9,0.000238,nan,nan
413,0.495,21,0,0,1,8,0.00402,-0.729054,nan
414,0.495,21,0,0,1,8,0.000302,nan,nan
415,0.495,21,0,0,1,8,0.000265,-0.735168,nan
416,0.495,21,0,0,1,8,0.000296,nan,nan
417,0.6,20,0,0,1,6,0.00053,nan,nan
418,0.445,21,0,0,1,9,0.003938,-0.730462,nan
419,0.6,20,0,0,1,6,0.000265,-0.746961,nan
420,0.605,19,0,0,1,6,0.000289,nan,nan
421,0.545,21,0,0,1,7,0.000293,-0.731203,nan
422,0.55,20,0,0,1,7,0.000391,-0.729821,nan
423,0.605,19,0,0,1,6,0.004195,nan,nan
424,0.435,23,0,0,1,9,0.00023,-0.73764,nan
425,0.495,21,0,0,1,8,0.000306,nan,nan
426,0.605,19,0,0,1,6,0.000192,-0.75682,nan
427,0.49,22,0,0,1,8,0.003689,-0.75741,nan
428,0.495,21,0,0,1,8,0.000247,nan,nan
429,0.385,23,0,0,1,10,0.000295,-0.746097,nan
430,0.44,22,0,0,1,9,0.000348,-0.719248,nan
431,0.605,19,0,0,1,6,0.006954,nan,nan
432,0.545,21,0,0,1,7,0.000275,-0.738889,nan
433,0.38,24,0,0,1,10,0.000251,-0.741443,nan
434,0.445,21,0,0,1,9,0.000271,nan,nan
435,0.55,20,0,0,1,7,0.000202,nan,nan
436,0.485,23,0,0,1,8,0.004089,-0.744629,nan
437,0.495,21,0,0,1,8,0.003841,nan,nan
438,0.55,20,0,0,1,7,0.000319,nan,nan
439,0.55,20,0,0,1,7,0.000231,nan,nan
440,0.485,23,0,0,1,8,0.000211,-0.735899,nan
441,0.435,23,0,0,1,9,0.000222,nan,nan
442,0.335,23,0,0,1,11,0.000289,-0.758897,nan
443,0.545,21,0,0,1,7,0.00018,nan,nan
